"borough","neighborhood","building_class_category","tax_class_at_present","block","lot","building_class_at_present","address","apartment_number","zip_code","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date"
"bronx","Bathgate","01 One Family Dwellings","1",3028,24,"A1","410 East 179th Street",NA,10457,1,0,1,1842,2048,1901,"1","A1",6e+05,2021-01-15
"bronx","Bathgate","01 One Family Dwellings","1",3045,12,"A1","2052 Bathgate Avenue",NA,10457,1,0,1,2340,1516,1910,"1","A1",580000,2021-07-22
"bronx","Bathgate","01 One Family Dwellings","1",3046,52,"B3","2047 Bathgate Avenue",NA,10457,2,0,2,2329,1431,1901,"1","A1",526000,2020-09-22
"bronx","Bathgate","01 One Family Dwellings","1",3053,108,"A9","2317 Bassford Avenue",NA,10458,1,0,1,925,1188,1901,"1","A9",251600,2021-08-17
"bronx","Bathgate","02 Two Family Dwellings","1",2912,135,"B1","492 Claremont Parkway",NA,10457,2,0,2,2000,2400,1993,"1","B1",655000,2021-04-09
"bronx","Bathgate","02 Two Family Dwellings","1",3030,203,"B3","4461 Park Ave",NA,10457,2,0,2,1592,1860,1899,"1","B3",710000,2021-05-03
"bronx","Bathgate","02 Two Family Dwellings","1",3037,3,"B2","4386 Park Avenue",NA,10457,2,0,2,1144,2889,1899,"1","B2",15000,2021-02-03
"bronx","Bathgate","02 Two Family Dwellings","1",3039,44,"B1","444 East 186 Street",NA,10458,2,0,2,2000,2060,1901,"1","B1",385000,2021-02-16
"bronx","Bathgate","02 Two Family Dwellings","1",3040,16,"B2","464 East 187 Street",NA,10458,2,0,2,1642,1820,1910,"1","B2",150000,2021-04-20
"bronx","Bathgate","02 Two Family Dwellings","1",3041,7,"S2","444 Cyrus Place",NA,10458,2,1,3,2467,1900,1910,"1","S2",412500,2020-12-09
"bronx","Bathgate","02 Two Family Dwellings","1",3044,165,"B1","2004 Bathgate Ave",NA,10457,2,0,2,1615,2340,1998,"1","B1",675000,2021-06-14
"bronx","Bathgate","02 Two Family Dwellings","1",3045,16,"B3","2060 Bathgate Avenue",NA,10457,2,0,2,1429,1872,1910,"1","B3",6e+05,2021-03-12
"bronx","Bathgate","02 Two Family Dwellings","1",3046,5,"B1","2024 Washington Ave",NA,10457,2,0,2,1907,2901,2000,"1","B1",625000,2020-09-03
"bronx","Bathgate","02 Two Family Dwellings","1",3050,90,"B2","505 E 182 Street",NA,10457,2,0,2,1960,2278,1901,"1","B2",734000,2021-07-13
"bronx","Bathgate","02 Two Family Dwellings","1",3053,7,"B2","2306 Bassford Avenue",NA,10458,2,0,2,2085,3374,1901,"1","B2",750000,2020-10-09
"bronx","Bathgate","02 Two Family Dwellings","1",3053,17,"B2","2301 Bathgate Avenue",NA,10458,2,0,2,1169,1836,1901,"1","B2",404586,2020-12-31
"bronx","Bathgate","03 Three Family Dwellings","1",3035,53,"C0","459 East 178th St",NA,10457,3,0,3,1799,3520,2007,"1","C0",670000,2021-07-26
"bronx","Bathgate","03 Three Family Dwellings","1",3037,67,"C0","460 East 182nd Street",NA,10457,3,0,3,2000,3744,1899,"1","C0",735000,2021-04-14
"bronx","Bathgate","03 Three Family Dwellings","1",3039,61,"C0","2355 Washington Avenue",NA,10458,3,0,3,1638,3240,2007,"1","C0",920000,2021-01-07
"bronx","Bathgate","03 Three Family Dwellings","1",3040,13,"C0","458 E 187th Street",NA,10458,3,0,3,1650,1776,1910,"1","C0",440000,2021-06-30
"bronx","Bathgate","03 Three Family Dwellings","1",3046,28,"C0","2092 Washington Avenue",NA,10457,3,0,3,2362,3438,2011,"1","C0",920000,2021-06-10
"bronx","Bathgate","03 Three Family Dwellings","1",3046,143,"C0","2054 Washington Avenue",NA,10457,3,0,3,1995,2901,2000,"1","C0",810000,2020-10-22
"bronx","Bathgate","03 Three Family Dwellings","1",3048,5,"C0","2164 Bathgate Avenue",NA,10457,3,0,3,2633,2524,1901,"1","C0",825000,2021-04-07
"bronx","Bathgate","07 Rentals - Walkup Apartments","2B",3031,51,"C1","4619 Park Avenue",NA,10458,8,0,8,3798,8976,1910,"2","C1",638750,2020-11-13
"bronx","Bathgate","07 Rentals - Walkup Apartments","2",3040,22,"C7","2383 Washington Avenue",NA,10458,24,2,26,5050,20365,1911,"2","C7",3200000,2020-11-25
"bronx","Bathgate","08 Rentals - Elevator Apartments","2",2897,127,"D1","417-429 Claremont Parkway",NA,10457,46,0,46,12598,56700,2005,"2","D1",5e+06,2020-10-02
"bronx","Bathgate","08 Rentals - Elevator Apartments","2",3040,3,"D1","4648 Park Avenue",NA,10458,70,0,70,20000,80658,2004,"2","D1",18418,2021-02-03
"bronx","Bathgate","14 Rentals - 4-10 Unit","2A",3048,50,"S9","4417 3rd Ave",NA,10457,4,2,6,2500,6000,1931,"2","S9",1500000,2020-09-15
"bronx","Bathgate","22 Store Buildings","4",2900,58,"K4","1872 Webster Avenue",NA,10457,0,1,1,2300,3542,1925,"4","K4",1100000,2021-08-06
"bronx","Bathgate","26 Other Hotels","4",3051,31,"H6","548 East 183 Street",NA,10458,32,3,35,5452,22345,1912,"4","H6",6140000,2021-06-24
"bronx","Bathgate","27 Factories","4",3034,18,"F5","4242 Park Avenue",NA,10457,0,1,1,4050,4000,1925,"4","F5",850000,2021-05-20
"bronx","Bathgate","30 Warehouses","4",3031,66,"E1","4583 Park Avenue",NA,10458,0,1,1,5490,4984,1912,"4","E1",1170000,2020-12-31
"bronx","Bathgate","30 Warehouses","4",3034,12,"E1","4228 Park Avenue",NA,10457,0,1,1,8775,5980,1925,"4","E1",4200000,2021-06-30
"bronx","Bathgate","30 Warehouses","4",3034,15,"E1","4234 Park Avenue",NA,10457,0,1,1,8100,7500,1931,"4","E1",4200000,2021-06-30
